Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
ZHONG SHUI 947,CN,Long Liner,BZZA4,1077464,37233,37.41,313.00,LLCN-2025-0495,2025-01-01,2025-12-31
ZHONG SHUI 957,CN,Long Liner,BZZA5,1077476,37234,37.41,313.00,LLCN-2025-0489,2025-01-01,2025-12-31
ZHONG TAI 6,CN,Single Purse Seiner,BZZW9,9891218,36987,76.73,1850.00,PSCN-2025-0187,2025-01-01,2025-12-31
ZHONG TAI 7,CN,Single Purse Seiner,BZZW4,9891220,36988,76.73,1850.00,PSCN-2025-0188,2025-01-01,2025-12-31
ZHONG TAI NO.3,CN,Single Purse Seiner,BZZY8,9261528,34810,70.59,1284.00,PSCN-2025-0189,2025-01-01,2025-12-31
ZHONG YU MARINE,PA,Reefer Carrier,3ENT8,9287845,37127,97.77,5103.00,RCPA-2025-0510,2025-01-19,2026-01-18
ZHOU YUAN YU 202,CN,Long Liner,BZ7UM,8797386,35805,48.70,646.00,LLCN-2025-0301,2025-01-01,2025-12-31
ZHOU YUAN YU 2601,CN,Long Liner,BZUQ9,9861392,36828,41.00,455.00,LLCN-2025-0302,2025-01-01,2025-12-31
ZHOU YUAN YU 2602,CN,Long Liner,BZUR2,9861419,36829,41.00,455.00,LLCN-2025-0303,2025-01-01,2025-12-31
ZHOU YUAN YU 2605,CN,Long Liner,BZUR3,9861421,36830,41.00,455.00,LLCN-2025-0304,2025-01-01,2025-12-31
ZHOU YUAN YU 2606,CN,Long Liner,BZUR4,9861433,36831,41.00,455.00,LLCN-2025-0305,2025-01-01,2025-12-31
ZHOU YUAN YU 2607,CN,Long Liner,BZUR5,9861445,36832,41.00,455.00,LLCN-2025-0306,2025-01-01,2025-12-31
ZHOU YUAN YU 2608,CN,Long Liner,BZUR6,9861457,36833,41.00,455.00,LLCN-2025-0307,2025-01-01,2025-12-31
ZINNIA 2,PH,Bunker,DXNA,6913819,34048,49.60,491.00,BKPH-2025-0474,2025-01-01,2025-12-31
