Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
PIONEER 38,PA,Bunker,3E2041,9916331,37029,106.75,4564.00,BKPA-2025-0599,2025-02-28,2026-02-27
PRIMROSE 888,PH,Reefer Carrier,DUOZ-2,7046845,34062,90.00,2967.00,RCPH-2025-0483,2025-01-15,2026-01-14
PRINCESS JANICE-168,PH,Single Purse Seiner,DYUW,7930723,35778,49.84,754.00,PSPH-2025-0434,2025-01-01,2025-12-31
PROGRESS 10,CK,Bunker,E5U3586,9213208,36897,113.98,5372.00,BKCK-2025-0084,2025-01-01,2025-12-31
PROSPERITY 12,PA,Bunker,3E3906,9916317,37016,106.75,4564.00,BKPA-2024-0663,2024-11-12,2025-11-11
PURPLE BEAUTY 888,PH,Single Purse Seiner,DUE6131,8648016,17202,56.83,1206.00,PSPH-2025-0484,2025-01-01,2025-12-31
PURPLE LILAC 888,PG,Single Purse Seiner,P2V5408,7820722,36210,76.52,1799.90,PSPG-2025-0482,2025-01-01,2025-12-31
QUEEN ALEXANDRA 959,FM,Single Purse Seiner,V6PQA2,9703253,36478,79.50,1893.00,PSFM-2025-0080,2025-01-01,2025-12-31
QUEEN ANNE 959,FM,Single Purse Seiner,V6PQA959,9268899,34915,70.59,1280.00,PSFM-2025-0081,2025-01-01,2025-12-31
QUEEN ELLICE,TV,Single Purse Seiner,T2FA3,8648494,35834,75.34,1738.00,PSTV-2025-0137,2025-01-01,2025-12-31
QUEEN EVELYN-101,PH,Single Purse Seiner,DUK2237,8747238,32929,70.26,1124.00,PSPH-2025-0435,2025-01-01,2025-12-31
QUEEN ISABELLA 88,FM,Single Purse Seiner,V6PQI88,9803479,36716,70.59,1562.00,PSFM-2025-0082,2025-01-01,2025-12-31
QUEEN JANICE-101,PH,Single Purse Seiner,DYHS,8748567,23416,64.76,995.00,PSPH-2025-0436,2025-01-01,2025-12-31
QUEEN JENNY -138,PH,Single Purse Seiner,4DET-6,8214322,36374,49.70,950.00,PSPH-2025-0437,2025-01-01,2025-12-31
QUEEN JINA - 101,PH,Single Purse Seiner,DUIY,9016545,26898,63.24,1096.00,PSPH-2025-0438,2025-01-01,2025-12-31
QUEEN MARILOU 888,PH,Single Purse Seiner,4DMQ-5,9009736,26575,57.85,1108.00,PSPH-2025-0469,2025-01-01,2025-12-31
QUEEN MARILOU-777,PH,Single Purse Seiner,DUZ-2034,9109342,33068,63.51,1207.00,PSPH-2025-0468,2025-01-01,2025-12-31
RED ROBIN 88,PH,Single Purse Seiner,DUCK,8628614,36080,61.85,1100.00,PSPH-2025-0481,2025-01-01,2025-12-31
RED TULIP 888,PG,Single Purse Seiner,P2V5278,7409267,35724,49.90,1053.02,PSPG-2025-0480,2025-01-01,2025-12-31
RISING NO 18,FJ,Long Liner,3DQE,9657595,36270,42.60,199.00,LLFJ-2025-0445,2025-01-01,2025-12-31
RISING NO 28,FJ,Long Liner,3DQI,9657612,36272,42.60,199.00,LLFJ-2025-0427,2025-01-01,2025-12-31
RISING NO.16,FJ,Long Liner,3DQC,9657583,36269,42.60,199.00,LLFJ-2025-0444,2025-01-01,2025-12-31
RISING NO.8,FJ,Long Liner,3DWG,8748892,36020,39.60,198.00,LLFJ-2025-0428,2025-01-01,2025-12-31
RONG DA YANG 18,CN,Long Liner,BBGA6,9679658,36316,42.60,336.00,LLCN-2025-0511,2025-01-01,2025-12-31
RONG DA YANG 19,CN,Long Liner,BBGA7,9679684,36317,42.60,336.00,LLCN-2025-0411,2025-01-01,2025-12-31
